"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","m3",26,1124.05446399008,0,1,0.999971036009679,-526.910348878157,0.999971036009679
"4","m4",18,1144.95361481964,20.8991508295571,2.89605669168998e-05,2.89597281033199e-05,-550.453277998054,0.999999995737782
"1","m1",12,1162.83476119649,38.7802972064117,3.79284817317003e-09,3.79273831715226e-09,-567.70309488396,0.999999999530521
"9","m9",14,1167.01558180457,42.961117814488,4.6893408210455e-10,4.68920499902335e-10,-567.148240340486,0.999999999999441
"5","m5",14,1180.83823554252,56.783771552437,4.67262229193619e-13,4.67248695414936e-13,-574.059567209461,0.999999999999908
"8","m8",14,1184.09900797544,60.0445439853559,9.15151380926546e-14,9.15124874490807e-14,-575.68995342592,1
"13","m13",5,1252.82326589699,128.768801906906,1.09196808464526e-28,1.09193645689223e-28,-621.105510499514,1
"7","m7",6,1254.56499698469,130.510532994613,4.57085921615028e-29,4.57072682582819e-29,-620.849508801625,1
"11","m11",5,1255.4185638157,131.364099825618,2.98296503492808e-29,2.98287863635768e-29,-622.403159458869,1
"12","m12",5,1256.46773278798,132.413268797903,1.76532233165033e-29,1.7652712008714e-29,-622.927743945012,1
"2","m2",6,1257.54557602153,133.491112031454,1.0298484763708e-29,1.0298186478495e-29,-622.339798320046,1
"6","m6",6,1257.54557602153,133.491112031454,1.0298484763708e-29,1.0298186478495e-29,-622.339798320046,1
"10","m10",5,1258.2836296379,134.22916564782,7.12044316606271e-30,7.12023692961577e-30,-623.835692369971,1
